2015-12-01 19:38:45.8818|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: error: open("BookingSiteTest/App_Data/Booking.mdf"): Permission denied
error: unable to index file BookingSiteTest/App_Data/Booking.mdf
fatal: updating files failed
2015-11-30 21:38:14.5068|INFO|thread:51|GitEnvironment|PATH is C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\joake\AppData\Local\Apps\2.0\4W698ZP5.KC7\0CHL7JL4.BHR\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\joake\AppData\Local\GitHub\lfs-x86_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-11-30 21:38:14.5068|INFO|thread:51|ProcessWrapper|Starting: Process - FileName: 'C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: G:\Development\BookingSite\
2015-11-30 21:38:14.6668|INFO|thread:44|ConcurrentRepositoryConnection|Took 157ms to git status
2015-11-30 21:38:14.6668|INFO|thread:44|ConcurrentRepositoryConnection|Took 157ms to git status and parse output
2015-11-30 21:38:14.6768|INFO|thread:44|NewCommitViewModel|Took 168ms to load files for G:\Development\BookingSite
2015-11-30 21:38:14.6768|INFO|thread:51|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 580 at BranchSynchronizer.cs:126 after waiting 0.168583s
2015-11-30 21:38:14.6768|INFO|thread:51|ConcurrentRepositoryConnection|branch stats: ahead 0, behind 0 on master
2015-11-30 21:38:14.6768|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 580 at BranchSynchronizer.cs:126 after blocking 0.0041634s
2015-11-30 21:38:14.6768|INFO|thread:44|AsyncReaderWriterLock|Released concurrent scheduler for operation: 579 at GitClient.cs:290 after blocking 0.17272s
2015-11-30 21:38:14.6768|INFO|thread: 1|NewCommitViewModel|Took 9ms to render file list for G:\Development\BookingSite
2015-11-30 21:38:14.6768|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 581 at RepositoryViewModel.cs:328
2015-11-30 21:38:14.6768|INFO|thread:55|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 581 at RepositoryViewModel.cs:328 after waiting 4.61E-05s
2015-11-30 21:38:14.6968|INFO|thread:51|AsyncReaderWriterLock|Released concurrent scheduler for operation: 581 at RepositoryViewModel.cs:328 after blocking 0.0157095s
2015-11-30 21:38:16.9429|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 573 at ICommittedFileForklift.cs:59 after blocking 5.5184938s
2015-11-30 21:41:39.9873|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 582 at GitClient.cs:201
2015-11-30 21:41:39.9873|INFO|thread:55|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 582 at GitClient.cs:201 after waiting 6.5E-05s
2015-11-30 21:41:39.9873|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 583 at RepositoryModel.cs:596
2015-11-30 21:41:39.9873|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 583 at RepositoryModel.cs:596 after waiting 0.0023666s
2015-11-30 21:41:40.0273|INFO|thread:56|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 584 at GitClient.cs:290
2015-11-30 21:41:40.0273|INFO|thread:56|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 585 at BranchSynchronizer.cs:126
2015-11-30 21:41:40.0273|INFO|thread:56|AsyncReaderWriterLock|Released concurrent scheduler for operation: 583 at RepositoryModel.cs:596 after blocking 0.0327728s
2015-11-30 21:41:40.0273|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 584 at GitClient.cs:290 after waiting 0.0008169s
2015-11-30 21:41:40.0393|INFO|thread:56|GitEnvironment|Process set up with this SSH Agent info: 4796:/tmp/ssh-xHwMOg65jMKT/agent.5560
2015-11-30 21:41:40.0393|INFO|thread:56|GitEnvironment|PATH is C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\joake\AppData\Local\Apps\2.0\4W698ZP5.KC7\0CHL7JL4.BHR\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\joake\AppData\Local\GitHub\lfs-x86_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-11-30 21:41:40.0393|INFO|thread:56|ProcessWrapper|Starting: Process - FileName: 'C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: G:\Development\BookingSite\
2015-11-30 21:41:40.0393|INFO|thread:44|AsyncReaderWriterLock|Released concurrent scheduler for operation: 582 at GitClient.cs:201 after blocking 0.0495231s
2015-11-30 21:41:40.0393|INFO|thread:55|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 585 at BranchSynchronizer.cs:126 after waiting 0.0172575s
2015-11-30 21:41:40.0563|INFO|thread:55|ConcurrentRepositoryConnection|branch stats: ahead 0, behind 0 on master
2015-11-30 21:41:40.0563|INFO|thread:55|AsyncReaderWriterLock|Released concurrent scheduler for operation: 585 at BranchSynchronizer.cs:126 after blocking 0.0073094s
2015-11-30 21:41:40.3503|INFO|thread:56|ConcurrentRepositoryConnection|Took 297ms to git status
2015-11-30 21:41:40.3503|INFO|thread:56|ConcurrentRepositoryConnection|Took 297ms to git status and parse output
2015-11-30 21:41:40.3503|INFO|thread:56|NewCommitViewModel|Took 333ms to load files for G:\Development\BookingSite
2015-11-30 21:41:40.3503|INFO|thread:56|AsyncReaderWriterLock|Released concurrent scheduler for operation: 584 at GitClient.cs:290 after blocking 0.3330728s
2015-11-30 21:41:40.3503|INFO|thread: 1|NewCommitViewModel|Took 2ms to render file list for G:\Development\BookingSite
2015-11-30 21:41:40.3503|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 586 at RepositoryViewModel.cs:328
2015-11-30 21:41:40.3503|INFO|thread:52|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 586 at RepositoryViewModel.cs:328 after waiting 3.42E-05s
2015-11-30 21:41:40.3813|INFO|thread:55|AsyncReaderWriterLock|Released concurrent scheduler for operation: 586 at RepositoryViewModel.cs:328 after blocking 0.0173019s
2015-11-30 21:41:40.3813|INFO|thread:28|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 587 at GitClient.cs:500
2015-11-30 21:41:40.3813|INFO|thread:28|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 587 at GitClient.cs:500 after waiting 7.95E-05s
2015-11-30 21:41:40.3813|INFO|thread:36|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 588 at GitClient.cs:500
2015-11-30 21:41:40.3813|INFO|thread:36|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 588 at GitClient.cs:500 after waiting 8.29E-05s
2015-11-30 21:41:40.4713|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 588 at GitClient.cs:500 after blocking 0.0829983s
2015-11-30 21:41:40.5433|INFO|thread:28|AsyncReaderWriterLock|Released concurrent scheduler for operation: 587 at GitClient.cs:500 after blocking 0.156886s
2015-11-30 21:43:35.2437|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 589 at GitClient.cs:201
2015-11-30 21:43:35.2437|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 590 at RepositoryModel.cs:596
2015-11-30 21:43:35.2437|INFO|thread:55|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 589 at GitClient.cs:201 after waiting 0.005258s
2015-11-30 21:43:35.2437|INFO|thread:56|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 590 at RepositoryModel.cs:596 after waiting 0.0102491s
2015-11-30 21:43:35.2707|INFO|thread:36|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 591 at GitClient.cs:290
2015-11-30 21:43:35.2707|INFO|thread:36|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 592 at BranchSynchronizer.cs:126
2015-11-30 21:43:35.2707|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 590 at RepositoryModel.cs:596 after blocking 0.0159037s
2015-11-30 21:43:35.2707|INFO|thread:56|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 591 at GitClient.cs:290 after waiting 0.0004858s
2015-11-30 21:43:35.2767|INFO|thread:56|GitEnvironment|Process set up with this SSH Agent info: 4796:/tmp/ssh-xHwMOg65jMKT/agent.5560
2015-11-30 21:43:35.2767|INFO|thread:56|GitEnvironment|PATH is C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\joake\AppData\Local\Apps\2.0\4W698ZP5.KC7\0CHL7JL4.BHR\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\joake\AppData\Local\GitHub\lfs-x86_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-11-30 21:43:35.2767|INFO|thread:56|ProcessWrapper|Starting: Process - FileName: 'C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: G:\Development\BookingSite\
2015-11-30 21:43:35.2767|INFO|thread:44|AsyncReaderWriterLock|Released concurrent scheduler for operation: 589 at GitClient.cs:201 after blocking 0.0305927s
2015-11-30 21:43:35.2767|INFO|thread:55|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 592 at BranchSynchronizer.cs:126 after waiting 0.0094797s
2015-11-30 21:43:35.2767|INFO|thread:55|ConcurrentRepositoryConnection|branch stats: ahead 0, behind 0 on master
2015-11-30 21:43:35.2767|INFO|thread:55|AsyncReaderWriterLock|Released concurrent scheduler for operation: 592 at BranchSynchronizer.cs:126 after blocking 0.0053222s
2015-11-30 21:43:35.3857|INFO|thread:36|ConcurrentRepositoryConnection|Took 112ms to git status
2015-11-30 21:43:35.3857|INFO|thread:36|ConcurrentRepositoryConnection|Took 112ms to git status and parse output
2015-11-30 21:43:35.3857|INFO|thread:36|NewCommitViewModel|Took 124ms to load files for G:\Development\BookingSite
2015-11-30 21:43:35.3857|INFO|thread:36|AsyncReaderWriterLock|Released concurrent scheduler for operation: 591 at GitClient.cs:290 after blocking 0.1239587s
2015-11-30 21:43:35.3857|INFO|thread: 1|NewCommitViewModel|Took 2ms to render file list for G:\Development\BookingSite
2015-11-30 21:43:35.3857|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 593 at RepositoryViewModel.cs:328
2015-11-30 21:43:35.3857|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 593 at RepositoryViewModel.cs:328 after waiting 3.46E-05s
2015-11-30 21:43:35.4157|INFO|thread:55|AsyncReaderWriterLock|Released concurrent scheduler for operation: 593 at RepositoryViewModel.cs:328 after blocking 0.017139s
2015-12-01 03:44:31.6100|INFO|thread:28|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 594 at BranchSynchronizer.cs:160
2015-12-01 03:44:31.6100|INFO|thread:28|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 594 at BranchSynchronizer.cs:160 after waiting 0.0021651s
2015-12-01 03:44:31.6200|INFO|thread: 4|SoftwareUpdateViewModel|Checking for new version
2015-12-01 03:44:31.6300|INFO|thread:28|GitEnvironment|Process set up with this SSH Agent info: 4796:/tmp/ssh-xHwMOg65jMKT/agent.5560
2015-12-01 03:44:31.6300|INFO|thread:28|GitEnvironment|PATH is C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\joake\AppData\Local\Apps\2.0\4W698ZP5.KC7\0CHL7JL4.BHR\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\joake\AppData\Local\GitHub\lfs-x86_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-01 03:44:31.6300|INFO|thread:28|ProcessWrapper|Starting: Process - FileName: 'C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'fetch --prune --recurse-submodules=on-demand origin ', Working Directory: G:\Development\BookingSite\
2015-12-01 03:44:37.2401|INFO|thread:43|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 595 at GitClient.cs:201
2015-12-01 03:44:37.2401|INFO|thread:21|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 595 at GitClient.cs:201 after waiting 0.0002544s
2015-12-01 03:44:37.2401|INFO|thread:43|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 596 at RepositoryModel.cs:596
2015-12-01 03:44:37.2401|INFO|thread:43|AsyncReaderWriterLock|Released concurrent scheduler for operation: 594 at BranchSynchronizer.cs:160 after blocking 5.6259872s
2015-12-01 03:44:37.2401|INFO|thread:28|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 596 at RepositoryModel.cs:596 after waiting 0.0010077s
2015-12-01 03:44:37.2471|INFO|thread:28|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 597 at GitClient.cs:290
2015-12-01 03:44:37.2471|INFO|thread:28|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 598 at BranchSynchronizer.cs:126
2015-12-01 03:44:37.2471|INFO|thread:28|AsyncReaderWriterLock|Released concurrent scheduler for operation: 596 at RepositoryModel.cs:596 after blocking 0.0058675s
2015-12-01 03:44:37.2471|INFO|thread:28|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 597 at GitClient.cs:290 after waiting 0.0002433s
2015-12-01 03:44:37.2471|INFO|thread:43|AsyncReaderWriterLock|Released concurrent scheduler for operation: 595 at GitClient.cs:201 after blocking 0.0131372s
2015-12-01 03:44:37.2471|INFO|thread:21|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 598 at BranchSynchronizer.cs:126 after waiting 0.006539s
2015-12-01 03:44:37.2471|INFO|thread:31|GitEnvironment|Process set up with this SSH Agent info: 4796:/tmp/ssh-xHwMOg65jMKT/agent.5560
2015-12-01 03:44:37.2471|INFO|thread:31|GitEnvironment|PATH is C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\joake\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\joake\AppData\Local\Apps\2.0\4W698ZP5.KC7\0CHL7JL4.BHR\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\joake\AppData\Local\GitHub\lfs-x86_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
